claim_id,policy_id,customer_id,vehicle_id,agent_id,accident_datetime,claim_datetime,fault,accident_area,accident_description,accident_latitude,accident_longitude,police_report_filed,witness_present,number_of_supplements,claimed_amount_eur,repair_workshop
CLM_00002,POL_07423,CUS_01111,VEH_01155,AGT_00118,2025-11-02 16:33:00,2025-11-28 06:33:00,Policy Holder,Urban,flooding damage,41.104921,-1.472463,Yes,Unknown,7,1198.91,Garage Ramírez - Murcia
CLM_00003,POL_01086,CUS_01750,VEH_00648,AGT_00027,2024-05-12 22:36:00,2024-06-23 15:36:00,Policy Holder,Urban,glass breakage,37.332902,-1.063439,No,Yes,7,11848.24,Carrocerías Díaz - Coruña
CLM_00004,POL_06373,CUS_06806,VEH_00899,AGT_00051,2025-07-09 22:55:00,2025-08-03 02:55:00,Policy Holder,Urban,bicycle involved,36.94493,-6.714446,Yes,No,2,1116.78,Carrocerías Díaz - Vigo
CLM_00005,POL_04543,CUS_04165,VEH_05968,AGT_00062,2023-11-08 20:14:00,2023-11-20 17:14:00,Policy Holder,Urban,multi-vehicle pileup,42.466545,2.3206,Yes,Yes,1,2246.88,Carrocerías Ruiz - Valencia
CLM_00006,POL_04676,CUS_07070,VEH_06082,AGT_00076,2025-08-21 12:39:00,2025-09-30 18:39:00,Policy Holder,Urban,falling object,39.341821,-2.414222,No,Yes,6,449.41,Carrocerías Gómez - Valencia
CLM_00007,POL_02940,CUS_02525,VEH_04305,AGT_00143,2022-11-10 05:53:00,2022-12-24 04:53:00,Policy Holder,Urban,rollover,39.449368,-2.953898,No,Yes,6,1098.0,Mecánica Iglesias - Barcelona
CLM_00008,POL_08373,CUS_00435,VEH_04122,AGT_00011,2023-11-10 09:56:00,2023-11-18 03:56:00,Third Party,Rural,mechanical failure,41.979473,1.23483,No,No,5,1206.0,Carrocerías Hernández - Coruña
CLM_00009,POL_08463,CUS_02881,VEH_05571,AGT_00068,2025-05-13 23:45:00,2025-06-21 23:45:00,Third Party,Urban,falling object,42.776453,-5.940144,No,Unknown,1,522.39,Taller Romero - Murcia
CLM_00010,POL_08205,CUS_04653,VEH_03228,AGT_00010,2022-09-24 20:33:00,2022-09-25 13:33:00,Third Party,Highway,falling object,38.422003,1.095116,No,Unknown,3,717.9,Garage Vázquez - Vitoria
CLM_00012,POL_01031,CUS_02431,VEH_08098,AGT_00170,2025-07-01 07:50:00,2025-07-12 07:50:00,Policy Holder,Suburban,animal collision,40.689656,-4.138212,Yes,Yes,3,1049.91,Mecánica Ortega - Valladolid
CLM_00013,POL_07738,CUS_01866,VEH_03869,AGT_00050,2023-04-14 20:19:00,2023-05-27 05:19:00,Policy Holder,Urban,vandalism,36.645206,-2.924527,No,No,5,2913.86,Chapa y Pintura Rivera - Sevilla
CLM_00014,POL_03936,CUS_02014,VEH_05879,AGT_00093,2022-04-19 10:10:00,2022-05-29 02:10:00,Third Party,Urban,side impact,40.000245,-3.478388,No,Yes,5,1087.84,Chapa y Pintura Castro - Las Palmas
CLM_00015,POL_06376,CUS_04071,VEH_04360,AGT_00019,2023-02-17 17:30:00,2023-03-17 09:30:00,Policy Holder,Urban,rear-end collision,38.166156,-0.461675,No,Yes,6,546.19,Auto Vázquez - Hospitalet
CLM_00016,POL_04270,CUS_05867,VEH_06949,AGT_00087,2022-10-25 01:34:00,2022-11-22 23:34:00,Third Party,Suburban,theft attempt,38.042476,-4.353121,No,Yes,0,1010.06,Auto Ruiz - Zaragoza
CLM_00018,POL_02363,CUS_05913,VEH_01674,AGT_00021,2025-07-15 04:47:00,2025-08-24 20:47:00,Policy Holder,Rural,rollover,41.748705,0.930087,No,No,7,18765.86,Carrocerías Rubio - Sevilla
CLM_00019,POL_06338,CUS_02963,VEH_05990,AGT_00049,2023-06-05 14:01:00,2023-06-28 23:01:00,Third Party,Urban,vandalism,43.744731,0.321738,No,No,5,1032.27,Reparaciones Morales - Barcelona
CLM_00020,POL_08827,CUS_02769,VEH_02661,AGT_00035,2023-05-15 22:52:00,2023-06-10 17:52:00,Policy Holder,Suburban,frontal collision,38.950156,-2.505509,Yes,No,2,4776.7,Carrocerías Torres - Gijón
CLM_00021,POL_08935,CUS_04905,VEH_04024,AGT_00008,2025-11-18 10:04:00,2025-12-11 02:04:00,Third Party,Urban,parking damage,41.36696,0.47157,Yes,No,3,754.21,Reparaciones Castillo - Vitoria
CLM_00022,POL_06504,CUS_04578,VEH_01438,AGT_00120,2022-08-17 04:46:00,2022-09-08 18:46:00,Third Party,Urban,animal collision,39.172831,-7.721897,No,Yes,5,674.27,Auto Díaz - Bilbao
CLM_00023,POL_05789,CUS_06858,VEH_01286,AGT_00000,2025-07-23 18:42:00,2025-08-25 16:42:00,Third Party,Highway,weather-related,40.573855,-4.2161,No,No,1,1031.49,Auto Moreno - Sevilla
