policy_id,customer_id,policy_type,base_policy,deductible,annual_premium_eur,policy_start_date,policy_end_date,past_number_of_claims,number_of_cars
POL_00000,CUS_03602,Sedan - All Perils,All Perils,400,963.49,2023-07-01,2024-06-30,none,4
POL_00006,CUS_01365,Sport - Collision,Collision,500,736.96,2019-08-15,2020-08-14,1,2
POL_00007,CUS_01645,Sedan - Collision,Collision,700,537.34,2022-09-20,2023-09-20,1,2
POL_00008,CUS_04199,Sedan - Collision,Collision,300,574.15,2020-02-21,2021-02-20,none,6
POL_00010,CUS_05415,Utility - Collision,Collision,400,591.0,2022-05-20,2023-05-20,4,8
POL_00014,CUS_06457,Utility - Liability,Liability,700,504.48,2022-03-31,2023-03-31,2,6
POL_00024,CUS_01625,Sedan - Collision,Collision,300,574.41,2020-04-07,2021-04-07,1,8
POL_00025,CUS_06448,Sedan - Collision,Collision,700,582.98,2020-03-13,2021-03-13,none,7
POL_00031,CUS_04723,Sport - All Perils,All Perils,500,493.23,2020-12-24,2021-12-24,2,7
POL_00034,CUS_04469,Utility - All Perils,All Perils,500,779.92,2020-07-06,2021-07-06,2,4
POL_00035,CUS_00419,Utility - All Perils,All Perils,700,665.07,2024-03-22,2025-03-22,more than 4,5
POL_00036,CUS_00774,Utility - Liability,Liability,500,425.56,2021-02-17,2022-02-17,none,4
POL_00044,CUS_04300,Utility - All Perils,All Perils,400,574.33,2021-03-19,2022-03-19,none,3
POL_00051,CUS_00922,Sedan - Collision,Collision,500,530.34,2019-02-13,2020-02-13,1,6
POL_00052,CUS_03687,Sport - Liability,Liability,500,534.42,2018-08-16,2019-08-16,4,8
POL_00054,CUS_06717,Sedan - Liability,Liability,300,1569.5,2022-12-22,2023-12-22,1,6
POL_00057,CUS_06985,Sport - Collision,Collision,500,549.91,2021-05-29,2022-05-29,none,8
POL_00067,CUS_03236,Utility - All Perils,All Perils,300,1218.52,2019-08-08,2020-08-07,1,6
POL_00071,CUS_04079,Utility - All Perils,All Perils,400,474.37,2019-05-10,2020-05-09,none,3
