policy_id,customer_id,policy_type,base_policy,deductible,annual_premium_eur,policy_start_date,policy_end_date,past_number_of_claims,number_of_cars
POL_00001,CUS_03475,Sport - Collision,Collision,300,1584.19,2022-04-22,2023-04-22,none,7
POL_00002,CUS_02564,Sport - Liability,Liability,500,499.0,2021-01-05,2022-01-05,more than 4,1
POL_00003,CUS_03003,Utility - Liability,Liability,700,1678.45,2024-04-06,2025-04-06,none,3
POL_00004,CUS_02879,Sedan - Collision,Collision,300,1161.3,2018-10-03,2019-10-03,1,1
POL_00005,CUS_00266,Utility - All Perils,All Perils,700,525.8,2020-10-31,2021-10-31,more than 4,1
POL_00009,CUS_01961,Sport - All Perils,All Perils,700,1082.06,2018-10-02,2019-10-02,none,5
POL_00011,CUS_02108,Utility - Liability,Liability,500,700.62,2021-12-18,2022-12-18,4,3
POL_00012,CUS_00204,Sport - All Perils,All Perils,300,657.65,2020-07-06,2021-07-06,1,1
POL_00013,CUS_00881,Sedan - All Perils,All Perils,300,834.67,2021-01-29,2022-01-29,none,7
POL_00015,CUS_03061,Sedan - All Perils,All Perils,500,1102.49,2023-04-09,2024-04-08,1,1
POL_00016,CUS_05880,Sport - Collision,Collision,300,792.49,2021-03-27,2022-03-27,none,4
POL_00017,CUS_05017,Sedan - Collision,Collision,400,655.03,2019-01-04,2020-01-04,1,5
POL_00018,CUS_01341,Sedan - Liability,Liability,400,226.11,2020-04-25,2021-04-25,none,1
POL_00019,CUS_05148,Sedan - Collision,Collision,400,183.86,2023-10-17,2024-10-16,4,3
POL_00020,CUS_05397,Utility - Collision,Collision,300,301.78,2025-01-15,2026-01-15,2,5
POL_00021,CUS_02534,Utility - Liability,Liability,300,918.24,2024-01-24,2025-01-23,2,1
POL_00022,CUS_02572,Sedan - Liability,Liability,500,958.02,2023-09-30,2024-09-29,1,6
POL_00023,CUS_06857,Sedan - Liability,Liability,500,590.59,2025-03-04,2026-03-04,none,3
POL_00026,CUS_03750,Utility - Liability,Liability,500,943.24,2023-04-14,2024-04-13,1,8
POL_00027,CUS_02764,Utility - Liability,Liability,400,383.8,2022-07-28,2023-07-28,4,8
POL_00028,CUS_04329,Sport - All Perils,All Perils,300,369.39,2025-03-25,2026-03-25,none,7
POL_00029,CUS_02586,Sedan - All Perils,All Perils,400,1434.25,2021-01-02,2022-01-02,2,4
POL_00030,CUS_01742,Sport - All Perils,All Perils,500,921.66,2025-01-29,2026-01-29,1,3
POL_00032,CUS_01992,Sedan - Collision,Collision,400,625.22,2022-06-02,2023-06-02,4,4
POL_00033,CUS_02868,Sport - Collision,Collision,700,556.89,2025-03-12,2026-03-12,3,2
POL_00037,CUS_00124,Sport - Collision,Collision,400,286.32,2023-12-11,2024-12-10,more than 4,4
POL_00038,CUS_03618,Sport - All Perils,All Perils,700,805.6,2020-08-23,2021-08-23,none,1
POL_00039,CUS_02867,Utility - Liability,Liability,500,340.4,2023-12-05,2024-12-04,2,8
POL_00040,CUS_01750,Utility - All Perils,All Perils,300,769.84,2021-01-31,2022-01-31,1,3
POL_00041,CUS_03497,Utility - All Perils,All Perils,700,362.43,2018-11-27,2019-11-27,2,1
POL_00042,CUS_01572,Sedan - Liability,Liability,500,399.96,2021-06-21,2022-06-21,1,8
POL_00043,CUS_00239,Sport - Liability,Liability,700,658.02,2022-09-04,2023-09-04,2,6
POL_00045,CUS_03831,Sedan - Liability,Liability,300,655.56,2019-01-24,2020-01-24,2,3
POL_00046,CUS_06004,Utility - All Perils,All Perils,400,987.25,2024-02-02,2025-02-01,2,8
POL_00047,CUS_03308,Utility - All Perils,All Perils,500,1821.05,2022-08-23,2023-08-23,4,6
POL_00048,CUS_01395,Sedan - Liability,Liability,400,860.84,2021-08-02,2022-08-02,1,5
POL_00049,CUS_01550,Sedan - All Perils,All Perils,300,697.47,2024-08-24,2025-08-24,1,7
POL_00050,CUS_04166,Utility - Collision,Collision,500,686.53,2023-08-13,2024-08-12,2,1
POL_00053,CUS_05662,Sport - Liability,Liability,400,565.3,2019-10-09,2020-10-08,1,7
POL_00055,CUS_03007,Utility - Liability,Liability,700,734.46,2022-12-27,2023-12-27,1,6
POL_00056,CUS_01842,Sedan - Liability,Liability,300,721.63,2024-05-30,2025-05-30,3,3
POL_00058,CUS_03277,Utility - Liability,Liability,500,406.95,2024-01-30,2025-01-29,none,3
POL_00059,CUS_00875,Utility - Liability,Liability,400,1505.15,2022-04-30,2023-04-30,1,3
POL_00060,CUS_02627,Utility - Liability,Liability,500,1180.93,2019-08-10,2020-08-09,2,4
POL_00061,CUS_04397,Sedan - All Perils,All Perils,400,841.26,2022-04-04,2023-04-04,2,7
POL_00062,CUS_03390,Sport - Collision,Collision,400,579.29,2023-11-19,2024-11-18,2,7
POL_00063,CUS_02515,Sport - All Perils,All Perils,300,484.19,2021-08-08,2022-08-08,3,4
POL_00064,CUS_00682,Sport - All Perils,All Perils,400,857.98,2018-10-05,2019-10-05,none,3
POL_00065,CUS_00191,Sport - All Perils,All Perils,300,743.62,2021-10-26,2022-10-26,1,2
POL_00066,CUS_00585,Sedan - Collision,Collision,300,822.63,2025-01-31,2026-01-31,3,3
POL_00068,CUS_04290,Utility - Liability,Liability,400,297.38,2019-02-12,2020-02-12,none,4
POL_00069,CUS_04263,Sport - Liability,Liability,400,892.87,2024-03-23,2025-03-23,none,6
POL_00070,CUS_06428,Sedan - Collision,Collision,300,755.6,2022-02-12,2023-02-12,none,1
POL_00074,CUS_07146,Sport - Liability,Liability,400,554.19,2023-06-17,2024-06-16,none,4
POL_00075,CUS_07029,Utility - Collision,Collision,700,848.37,2020-04-08,2021-04-08,1,2
POL_00076,CUS_01158,Sedan - Collision,Collision,400,342.66,2021-12-25,2022-12-25,none,4
POL_00077,CUS_02576,Utility - Collision,Collision,500,814.38,2023-08-01,2024-07-31,1,1
POL_00078,CUS_06742,Sport - Liability,Liability,300,770.73,2024-03-19,2025-03-19,none,8
POL_00079,CUS_01513,Sedan - Collision,Collision,300,391.04,2025-03-18,2026-03-18,4,7
POL_00080,CUS_01628,Utility - Liability,Liability,500,1796.14,2019-11-12,2020-11-11,4,6
POL_00081,CUS_01504,Sedan - Liability,Liability,400,423.14,2020-05-02,2021-05-02,1,4
POL_00082,CUS_01867,Utility - Collision,Collision,700,913.51,2023-05-13,2024-05-12,none,6
POL_00083,CUS_03651,Utility - Liability,Liability,400,580.44,2021-11-22,2022-11-22,1,7
POL_00084,CUS_05335,Sedan - All Perils,All Perils,300,402.01,2020-04-18,2021-04-18,1,7
POL_00085,CUS_01074,Sport - Liability,Liability,700,750.88,2020-10-08,2021-10-08,more than 4,3
POL_00086,CUS_03040,Utility - Collision,Collision,300,1038.95,2018-09-17,2019-09-17,3,5
POL_00087,CUS_02197,Utility - All Perils,All Perils,500,2169.97,2022-02-20,2023-02-20,none,3
POL_00088,CUS_02603,Sedan - Liability,Liability,400,1017.85,2020-12-30,2021-12-30,1,1
POL_00089,CUS_03492,Utility - All Perils,All Perils,500,490.74,2020-12-22,2021-12-22,1,8
POL_00090,CUS_04392,Sport - Collision,Collision,400,843.89,2023-05-11,2024-05-10,more than 4,1
POL_00091,CUS_07047,Sport - All Perils,All Perils,300,1100.48,2025-03-28,2026-03-28,1,2
POL_00093,CUS_04731,Sedan - Collision,Collision,500,2677.45,2024-09-24,2025-09-24,none,2
POL_00094,CUS_05703,Sedan - Liability,Liability,700,661.44,2022-09-13,2023-09-13,1,6
POL_00095,CUS_04130,Utility - Collision,Collision,500,649.42,2024-04-24,2025-04-24,1,6
POL_00096,CUS_06594,Sport - All Perils,All Perils,500,863.02,2024-10-09,2025-10-09,none,1
POL_00097,CUS_04949,Sport - Collision,Collision,400,889.19,2020-04-12,2021-04-12,2,5
POL_00098,CUS_04558,Sport - Collision,Collision,500,558.41,2021-01-27,2022-01-27,none,5
POL_00099,CUS_03557,Sedan - Liability,Liability,500,436.32,2018-10-18,2019-10-18,1,4
POL_00100,CUS_03450,Sedan - All Perils,All Perils,400,1002.56,2021-02-01,2022-02-01,none,5
POL_00101,CUS_05093,Sedan - All Perils,All Perils,400,1545.23,2022-08-15,2023-08-15,none,1
POL_00102,CUS_04812,Utility - Collision,Collision,300,484.4,2019-12-02,2020-12-01,4,7
POL_00103,CUS_00958,Utility - Liability,Liability,300,715.66,2025-01-23,2026-01-23,none,3
POL_00106,CUS_05251,Sport - Liability,Liability,500,2295.44,2023-03-07,2024-03-06,3,4
POL_00107,CUS_05048,Utility - Collision,Collision,500,694.82,2019-09-09,2020-09-08,1,6
POL_00108,CUS_04923,Sedan - Collision,Collision,500,929.57,2018-09-29,2019-09-29,more than 4,1
POL_00109,CUS_01937,Sedan - Liability,Liability,500,382.71,2023-12-08,2024-12-07,none,8
POL_00110,CUS_05345,Sedan - Collision,Collision,700,516.12,2022-01-30,2023-01-30,2,5
POL_00111,CUS_05425,Sedan - Liability,Liability,400,644.6,2024-05-22,2025-05-22,none,6
POL_00112,CUS_04327,Sedan - All Perils,All Perils,300,580.25,2020-04-14,2021-04-14,none,5
POL_00113,CUS_00128,Utility - Liability,Liability,400,815.3,2019-10-11,2020-10-10,none,8
POL_00114,CUS_03679,Sedan - All Perils,All Perils,300,629.45,2018-09-23,2019-09-23,none,7
POL_00116,CUS_00714,Sport - All Perils,All Perils,700,235.1,2025-02-14,2026-02-14,2,7
POL_00117,CUS_03333,Utility - All Perils,All Perils,400,850.73,2023-04-23,2024-04-22,none,1
POL_00118,CUS_05586,Utility - Liability,Liability,700,603.06,2020-07-28,2021-07-28,2,1
POL_00119,CUS_02127,Sedan - Liability,Liability,500,624.12,2025-04-12,2026-04-12,1,4
POL_00121,CUS_03204,Sport - Collision,Collision,700,347.54,2024-12-04,2025-12-04,2,2
POL_00122,CUS_06877,Sedan - All Perils,All Perils,500,873.65,2022-03-23,2023-03-23,none,1
POL_00123,CUS_05920,Utility - Collision,Collision,300,638.82,2022-04-25,2023-04-25,more than 4,7
POL_00124,CUS_00424,Utility - All Perils,All Perils,700,278.82,2024-10-29,2025-10-29,3,1
POL_00126,CUS_01703,Sedan - All Perils,All Perils,700,361.37,2023-07-14,2024-07-13,3,7
POL_00127,CUS_06906,Sedan - Collision,Collision,500,403.51,2019-01-19,2020-01-19,3,7
POL_00128,CUS_06411,Sport - Collision,Collision,300,378.89,2021-11-08,2022-11-08,3,7
POL_00130,CUS_00355,Sport - Collision,Collision,700,356.15,2022-11-16,2023-11-16,4,5
POL_00132,CUS_01195,Sport - Liability,Liability,400,605.3,2021-03-29,2022-03-29,4,6
POL_00133,CUS_00465,Sedan - Collision,Collision,400,795.37,2022-12-03,2023-12-03,none,4
POL_00135,CUS_03702,Sedan - All Perils,All Perils,500,980.58,2020-11-03,2021-11-03,2,6
POL_00136,CUS_01790,Sport - Liability,Liability,400,482.2,2023-05-23,2024-05-22,2,6
POL_00137,CUS_02456,Utility - Collision,Collision,500,824.67,2019-04-17,2020-04-16,4,3
POL_00139,CUS_04321,Utility - Collision,Collision,500,820.2,2020-08-31,2021-08-31,none,6
POL_00140,CUS_05866,Sport - Liability,Liability,500,271.64,2021-02-24,2022-02-24,none,3
POL_00142,CUS_04273,Utility - Liability,Liability,300,662.51,2018-10-11,2019-10-11,none,1
POL_00146,CUS_06821,Utility - Liability,Liability,700,641.36,2020-02-18,2021-02-17,none,4
POL_00147,CUS_04787,Sport - All Perils,All Perils,400,1127.13,2021-04-17,2022-04-17,1,7
POL_00148,CUS_04556,Utility - Collision,Collision,500,593.14,2019-08-15,2020-08-14,none,4
POL_00149,CUS_01340,Sedan - All Perils,All Perils,400,1033.82,2024-05-20,2025-05-20,3,5
POL_00150,CUS_04481,Utility - All Perils,All Perils,300,1060.63,2024-11-12,2025-11-12,2,2
POL_00151,CUS_00528,Sport - Collision,Collision,700,322.27,2023-07-27,2024-07-26,none,3
POL_00152,CUS_01599,Sport - Liability,Liability,500,568.97,2023-06-12,2024-06-11,3,8
POL_00153,CUS_05330,Sedan - Liability,Liability,700,2394.43,2022-09-29,2023-09-29,2,1
POL_00154,CUS_05733,Sedan - All Perils,All Perils,400,959.08,2022-12-25,2023-12-25,1,5
POL_00156,CUS_01071,Utility - Collision,Collision,300,528.87,2022-06-14,2023-06-14,3,6
POL_00157,CUS_02587,Utility - Liability,Liability,700,633.25,2022-02-17,2023-02-17,1,4
POL_00158,CUS_02897,Sport - Liability,Liability,500,406.13,2024-09-27,2025-09-27,none,3
POL_00160,CUS_03076,Sport - Liability,Liability,400,1272.69,2022-02-24,2023-02-24,3,3
POL_00162,CUS_05593,Sedan - All Perils,All Perils,700,2499.44,2023-01-12,2024-01-12,2,5
POL_00163,CUS_04417,Sedan - Liability,Liability,500,828.39,2024-04-10,2025-04-10,3,8
POL_00164,CUS_06245,Sport - Liability,Liability,400,486.88,2025-04-13,2026-04-13,none,8
POL_00166,CUS_06884,Sedan - All Perils,All Perils,300,899.23,2023-12-03,2024-12-02,4,8
POL_00167,CUS_05775,Utility - All Perils,All Perils,400,1983.44,2018-10-25,2019-10-25,1,5
POL_00168,CUS_05639,Sedan - Liability,Liability,500,623.36,2024-03-29,2025-03-29,1,6
POL_00169,CUS_06850,Utility - Collision,Collision,300,439.03,2022-05-11,2023-05-11,1,7
POL_00170,CUS_06366,Utility - Collision,Collision,700,433.19,2019-07-11,2020-07-10,1,3
POL_00172,CUS_05475,Utility - Liability,Liability,700,1455.39,2021-12-19,2022-12-19,4,5
POL_00173,CUS_06666,Sport - Collision,Collision,300,1068.11,2019-10-25,2020-10-24,more than 4,2
POL_00174,CUS_01343,Sport - All Perils,All Perils,500,724.97,2024-01-18,2025-01-17,1,4
POL_00175,CUS_03669,Utility - Liability,Liability,300,544.94,2019-11-11,2020-11-10,1,6
POL_00177,CUS_00572,Utility - Collision,Collision,700,730.13,2019-02-11,2020-02-11,2,2
POL_00179,CUS_04691,Sedan - Collision,Collision,500,891.43,2022-01-30,2023-01-30,4,6
POL_00180,CUS_06571,Sport - Liability,Liability,400,635.51,2024-10-18,2025-10-18,3,4
POL_00181,CUS_00183,Utility - Liability,Liability,300,1502.37,2024-02-02,2025-02-01,none,8
POL_00182,CUS_02632,Utility - Liability,Liability,400,351.33,2023-03-24,2024-03-23,2,4
POL_00183,CUS_00632,Utility - Liability,Liability,300,917.38,2025-04-14,2026-04-14,2,2
POL_00184,CUS_00532,Utility - Collision,Collision,400,1646.0,2024-03-18,2025-03-18,2,3
POL_00187,CUS_06343,Sedan - Collision,Collision,400,623.16,2019-01-02,2020-01-02,2,7
POL_00188,CUS_01868,Sedan - All Perils,All Perils,300,1597.81,2024-06-21,2025-06-21,more than 4,1
