vehicle_id,policy_id,license_plate,make,model,manufacture_year,vehicle_category,purchase_price_eur,color,odometer_km,driver_rating
VEH_00000,POL_05817,3486 XMR,Toyota,Hilux,2024,Utility,17476.28,Negro,203751,1
VEH_00001,POL_06074,9916 KVH,Volvo,XC60,2013,Utility,17966.9,Blanco,118504,3
VEH_00002,POL_09056,2787 NWJ,Jaguar,F-Pace,2024,Coupe,10593.51,Blanco,220197,2
VEH_00003,POL_06022,6635 CLH,SEAT,Arona,2013,Sedan,36615.4,Blanco,92432,4
VEH_00005,POL_06071,6905 HFG,Kia,Rio,2005,SUV,18241.39,Gris,206190,1
VEH_00007,POL_03218,0655 LTB,Honda,Jazz,2022,Sedan,14315.96,Negro,193228,2
VEH_00009,POL_03817,8857 HJJ,Suzuki,Ignis,2017,Sport,13982.86,Rojo,57585,4
VEH_00010,POL_04700,9141 CGK,Honda,Accord,2017,Sport,27070.08,Negro,8359,3
VEH_00011,POL_02311,9744 MVG,Opel,Grandland,2016,Utility,6548.59,Negro,258951,2
VEH_00013,POL_01774,6392 FZX,Volkswagen,Tiguan,2013,Sedan,6095.61,Plata,265995,2
VEH_00014,POL_06237,6991 YKH,Nissan,Navara,2007,Sport,20285.15,Plata,216318,4
VEH_00015,POL_01941,6450 PSL,Land Rover,Range Rover,2016,SUV,17617.59,Azul,115269,1
VEH_00016,POL_08185,0020 VKC,Mazda,Mazda3,2019,Sedan,8963.14,Negro,185196,2
VEH_00017,POL_05328,3706 TFF,Dacia,Sandero,2009,Sedan,5713.71,Azul,170559,2
VEH_00018,POL_04229,4099 CDD,Chevrolet,Malibu,2013,Sedan,16546.68,Gris,129168,4
VEH_00019,POL_09490,1034 RZX,BMW,X5,2016,Sedan,47497.98,Beige,268132,2
VEH_00020,POL_08157,0880 YFL,Honda,Accord,2015,Van,17858.45,Beige,96240,1
VEH_00021,POL_04623,1986 HRC,Ford,Fiesta,2005,Sedan,41218.68,Blanco,17561,1
VEH_00022,POL_02333,0161 KXV,Lexus,RX,2019,SUV,10043.59,Rojo,176030,3
VEH_00023,POL_04479,8420 MZG,Mitsubishi,L200,2012,Sedan,8881.68,Plata,258781,2
VEH_00024,POL_05623,5892 WVJ,Nissan,Leaf,2024,SUV,22565.68,Verde,116250,4
VEH_00025,POL_07122,6863 HBZ,Hyundai,Santa Fe,2011,Utility,19197.99,Plata,10856,3
VEH_00027,POL_07075,3291 JMJ,Jeep,Wrangler,2021,Sedan,7457.83,Gris,48653,2
VEH_00028,POL_00840,6136 RMZ,Peugeot,2008,2017,Sedan,11204.92,Amarillo,206966,2
VEH_00030,POL_02478,0423 BBW,Dacia,Jogger,2015,Utility,27172.07,Gris,251054,1
VEH_00031,POL_04973,0053 HWS,SEAT,Ateca,2017,Sedan,24109.01,Gris,69025,2
VEH_00033,POL_06613,1082 GYY,Skoda,Karoq,2018,Sedan,9196.02,Gris,44147,2
VEH_00036,POL_07991,6421 WBT,Skoda,Karoq,2008,SUV,18868.47,Negro,156551,3
VEH_00037,POL_04675,9448 KVM,Honda,Civic,2008,Sedan,21611.16,Negro,248834,1
VEH_00039,POL_00693,6823 MBX,Kia,Niro,2021,Sport,35576.58,Blanco,227835,4
VEH_00040,POL_01565,7044 TNS,Skoda,Karoq,2009,Sport,14798.44,Verde,258955,1
VEH_00042,POL_02032,3794 LRJ,Subaru,Outback,2016,SUV,14124.15,Negro,94427,1
VEH_00043,POL_03698,1639 BKD,Jaguar,XF,2005,Sport,9872.7,Blanco,202459,3
VEH_00044,POL_04478,3524 HMN,Fiat,500,2017,Van,26474.95,Gris,32631,3
VEH_00046,POL_03966,1540 JHB,Suzuki,S-Cross,2018,SUV,12313.66,Plata,191077,3
VEH_00047,POL_06380,2206 WMP,Honda,Accord,2014,Sedan,17041.64,Negro,208587,2
VEH_00049,POL_07281,7828 FZJ,Skoda,Karoq,2007,Utility,23267.19,Rojo,192341,2
VEH_00050,POL_04586,6294 NGT,Suzuki,S-Cross,2021,Utility,13029.09,Blanco,48137,1
VEH_00051,POL_02011,0422 WDS,Kia,Sportage,2009,Sedan,8845.53,Rojo,13062,3
VEH_00052,POL_06130,9269 MWW,Audi,A3,2014,Utility,16531.73,Gris,129135,4
VEH_00053,POL_05555,4309 HTW,Fiat,Tipo,2012,Sport,52534.64,Beige,137183,2
